id,lat,lng,tipo,comuna,fecha,descripcion
0,-33.437902,-70.46188,Obras viales,Las Condes,2024-03-04,Incidente #0 en zona urbana
1,-33.582982,-70.646455,Accidente,Pedro Aguirre Cerda,2024-10-26,Incidente #1 en zona urbana
2,-33.639894,-70.665225,Corte de tránsito,La Florida,2024-01-06,Incidente #2 en zona urbana
3,-33.638991,-70.709361,Vehículo detenido,Pudahuel,2024-01-05,Incidente #3 en zona urbana
4,-33.529833,-70.524681,Policía,La Reina,2024-04-25,Incidente #4 en zona urbana
5,-33.733969,-70.652252,Congestión,Las Condes,2024-01-20,Incidente #5 en zona urbana
6,-33.302323,-70.740026,Vehículo detenido,Conchalí,2024-09-20,Incidente #6 en zona urbana
7,-33.609093,-70.823649,Congestión,Peñalolén,2024-11-30,Incidente #7 en zona urbana
8,-33.322143,-70.743195,Evento masivo,Lo Prado,2024-09-02,Incidente #8 en zona urbana
9,-33.663546,-70.834646,Manifestación,Puente Alto,2024-12-18,Incidente #9 en zona urbana
10,-33.333958,-70.618664,Congestión,Providencia,2024-02-01,Incidente #10 en zona urbana
11,-33.35238,-70.841248,Policía,La Florida,2024-03-23,Incidente #11 en zona urbana
12,-33.444647,-70.813141,Congestión,La Granja,2024-08-06,Incidente #12 en zona urbana
13,-33.662172,-70.861893,Obras viales,Pedro Aguirre Cerda,2024-02-26,Incidente #13 en zona urbana
14,-33.345949,-70.850354,Lluvia intensa,La Florida,2024-10-20,Incidente #14 en zona urbana
15,-33.708352,-70.558465,Congestión,San Miguel,2024-09-30,Incidente #15 en zona urbana
16,-33.454953,-70.591591,Congestión,La Pintana,2024-01-16,Incidente #16 en zona urbana
17,-33.646779,-70.519775,Congestión,Independencia,2024-11-07,Incidente #17 en zona urbana
18,-33.748823,-70.656458,Manifestación,Estación Central,2024-07-10,Incidente #18 en zona urbana
19,-33.64843,-70.807182,Peatón atropellado,Ñuñoa,2024-05-05,Incidente #19 en zona urbana
20,-33.538489,-70.440371,Obras viales,Las Condes,2024-11-21,Incidente #20 en zona urbana
21,-33.678677,-70.877943,Semáforo apagado,Pudahuel,2024-12-06,Incidente #21 en zona urbana
22,-33.338602,-70.791117,Tránsito detenido,Santiago,2024-12-22,Incidente #22 en zona urbana
23,-33.390735,-70.740105,Obras viales,Vitacura,2024-09-30,Incidente #23 en zona urbana
24,-33.516358,-70.821148,Congestión,Pudahuel,2024-03-26,Incidente #24 en zona urbana
25,-33.406651,-70.450986,Accidente,Puente Alto,2024-12-24,Incidente #25 en zona urbana
26,-33.44952,-70.616033,Lluvia intensa,Vitacura,2024-11-01,Incidente #26 en zona urbana
27,-33.439803,-70.537807,Lluvia intensa,La Granja,2024-03-27,Incidente #27 en zona urbana
28,-33.309581,-70.563927,Tránsito detenido,La Reina,2024-11-06,Incidente #28 en zona urbana
29,-33.517385,-70.462379,Lluvia intensa,Puente Alto,2024-09-03,Incidente #29 en zona urbana
30,-33.725884,-70.666124,Tránsito detenido,Pudahuel,2024-02-20,Incidente #30 en zona urbana
31,-33.365477,-70.404566,Congestión,Maipú,2024-12-14,Incidente #31 en zona urbana
32,-33.386684,-70.676245,Congestión,Pudahuel,2024-05-15,Incidente #32 en zona urbana
33,-33.580562,-70.748264,Moto accidentada,La Florida,2024-10-25,Incidente #33 en zona urbana
34,-33.42333,-70.840898,Congestión,Renca,2024-06-08,Incidente #34 en zona urbana
35,-33.506833,-70.52939,Congestión,La Florida,2024-10-31,Incidente #35 en zona urbana
36,-33.742423,-70.619891,Tránsito detenido,Santiago,2024-05-28,Incidente #36 en zona urbana
37,-33.705507,-70.435749,Policía,San Ramón,2024-04-30,Incidente #37 en zona urbana
38,-33.737545,-70.576761,Congestión,Lo Prado,2024-11-05,Incidente #38 en zona urbana
39,-33.596731,-70.767529,Obras viales,Maipú,2024-09-23,Incidente #39 en zona urbana
40,-33.731069,-70.47769,Manifestación,Estación Central,2024-05-05,Incidente #40 en zona urbana
41,-33.714403,-70.846188,Moto accidentada,Huechuraba,2024-07-10,Incidente #41 en zona urbana
42,-33.360274,-70.817332,Congestión,Renca,2024-12-28,Incidente #42 en zona urbana
43,-33.494066,-70.883192,Congestión,Santiago,2024-02-14,Incidente #43 en zona urbana
44,-33.608327,-70.739743,Congestión,Conchalí,2024-03-24,Incidente #44 en zona urbana
45,-33.350103,-70.802748,Obras viales,Macul,2024-07-07,Incidente #45 en zona urbana
46,-33.524852,-70.832335,Congestión,Independencia,2024-03-23,Incidente #46 en zona urbana
47,-33.638273,-70.756296,Vehículo detenido,Las Condes,2024-04-06,Incidente #47 en zona urbana
48,-33.567685,-70.46683,Vehículo detenido,Maipú,2024-11-15,Incidente #48 en zona urbana
49,-33.70437,-70.469095,Vehículo detenido,Peñalolén,2024-07-17,Incidente #49 en zona urbana
50,-33.383853,-70.885946,Corte de tránsito,Providencia,2024-02-21,Incidente #50 en zona urbana
51,-33.306915,-70.686338,Accidente,Cerro Navia,2024-07-15,Incidente #51 en zona urbana
52,-33.611977,-70.645362,Vehículo detenido,La Florida,2024-07-16,Incidente #52 en zona urbana
53,-33.331972,-70.762104,Accidente,Pedro Aguirre Cerda,2024-09-02,Incidente #53 en zona urbana
54,-33.585063,-70.457002,Evento masivo,Ñuñoa,2024-10-18,Incidente #54 en zona urbana
55,-33.635013,-70.703628,Vehículo detenido,Providencia,2024-05-17,Incidente #55 en zona urbana
56,-33.524052,-70.601543,Tránsito detenido,Puente Alto,2024-10-05,Incidente #56 en zona urbana
57,-33.653988,-70.777842,Vehículo detenido,Conchalí,2024-03-15,Incidente #57 en zona urbana
58,-33.632772,-70.5844,Accidente,Maipú,2024-10-24,Incidente #58 en zona urbana
59,-33.695876,-70.477131,Semáforo apagado,La Pintana,2024-12-24,Incidente #59 en zona urbana
60,-33.667529,-70.836889,Tránsito detenido,La Reina,2024-06-29,Incidente #60 en zona urbana
61,-33.33239,-70.444523,Manifestación,Puente Alto,2024-04-19,Incidente #61 en zona urbana
62,-33.44452,-70.703361,Vehículo detenido,Lo Prado,2024-03-31,Incidente #62 en zona urbana
63,-33.535956,-70.735408,Accidente,La Granja,2024-02-15,Incidente #63 en zona urbana
64,-33.513843,-70.641195,Semáforo apagado,La Florida,2024-07-26,Incidente #64 en zona urbana
65,-33.329445,-70.460094,Obras viales,Maipú,2024-08-29,Incidente #65 en zona urbana
66,-33.53532,-70.719305,Policía,Providencia,2024-09-14,Incidente #66 en zona urbana
67,-33.603986,-70.60762,Tránsito detenido,Renca,2024-04-13,Incidente #67 en zona urbana
68,-33.419229,-70.543036,Tránsito detenido,Peñalolén,2024-11-30,Incidente #68 en zona urbana
69,-33.654138,-70.77262,Corte de tránsito,Renca,2024-08-04,Incidente #69 en zona urbana
