timestamp,consultas,hits,misses,hit_rate,miss_rate
2025-07-01 06:16:09,500,493,7,98.6,1.4
2025-07-01 06:16:09,1000,994,6,99.4,0.6
2025-07-01 06:16:09,3000,2993,7,99.77,0.23
2025-07-01 06:16:09,5000,4993,7,99.86,0.14
2025-07-01 06:16:09,500,494,6,98.8,1.2
2025-07-01 06:16:09,1000,993,7,99.3,0.7
2025-07-01 06:16:09,3000,2993,7,99.77,0.23
2025-07-01 06:16:09,5000,4993,7,99.86,0.14
2025-07-01 06:16:09,500,494,6,98.8,1.2
2025-07-01 06:16:09,1000,993,7,99.3,0.7
2025-07-01 06:16:09,3000,2992,8,99.73,0.27
2025-07-01 06:16:09,5000,4994,6,99.88,0.12
2025-07-01 06:16:09,500,495,5,99.0,1.0
2025-07-01 06:16:09,1000,994,6,99.4,0.6
2025-07-01 06:16:09,3000,2993,7,99.77,0.23
2025-07-01 06:16:09,5000,4993,7,99.86,0.14
2025-07-01 06:16:09,500,494,6,98.8,1.2
2025-07-01 06:16:09,1000,994,6,99.4,0.6
2025-07-01 06:16:09,3000,2993,7,99.77,0.23
2025-07-01 06:16:09,5000,4992,8,99.84,0.16
2025-07-01 06:16:09,500,493,7,98.6,1.4
2025-07-01 06:16:09,1000,993,7,99.3,0.7
2025-07-01 06:16:09,3000,2993,7,99.77,0.23
2025-07-01 06:16:09,5000,4992,8,99.84,0.16
2025-07-01 06:16:09,500,493,7,98.6,1.4
2025-07-01 06:16:09,1000,994,6,99.4,0.6
2025-07-01 06:16:10,3000,2992,8,99.73,0.27
2025-07-01 06:16:10,5000,4993,7,99.86,0.14
2025-07-01 06:16:10,500,495,5,99.0,1.0
2025-07-01 06:16:10,1000,994,6,99.4,0.6
2025-07-01 06:16:10,3000,2993,7,99.77,0.23
2025-07-01 06:16:10,5000,4992,8,99.84,0.16
2025-07-01 06:16:10,500,120,380,24.0,76.0
2025-07-01 06:16:12,1000,286,714,28.6,71.4
2025-07-01 06:16:18,3000,803,2197,26.77,73.23
2025-07-01 06:16:27,5000,1327,3673,26.54,73.46
2025-07-01 06:16:28,500,309,191,61.8,38.2
2025-07-01 06:16:29,1000,762,238,76.2,23.8
2025-07-01 06:16:31,3000,2396,604,79.87,20.13
2025-07-01 06:16:33,5000,4117,883,82.34,17.66
2025-07-01 06:16:33,500,315,185,63.0,37.0
2025-07-01 06:16:34,1000,782,218,78.2,21.8
2025-07-01 06:16:36,3000,2729,271,90.97,9.03
2025-07-01 06:16:37,5000,4717,283,94.34,5.66
2025-07-01 06:16:39,500,311,189,62.2,37.8
2025-07-01 06:16:40,1000,769,231,76.9,23.1
2025-07-01 06:16:43,3000,2731,269,91.03,8.97
2025-07-01 06:16:44,5000,4702,298,94.04,5.96
2025-07-01 06:16:46,500,88,412,17.6,82.4
2025-07-01 06:16:48,1000,155,845,15.5,84.5
2025-07-01 06:16:59,3000,327,2673,10.9,89.1
2025-07-01 06:17:10,5000,471,4529,9.42,90.58
2025-07-01 06:17:10,500,316,184,63.2,36.8
2025-07-01 06:17:11,1000,768,232,76.8,23.2
2025-07-01 06:17:11,3000,2661,339,88.7,11.3
2025-07-01 06:17:12,5000,4527,473,90.54,9.46
2025-07-01 06:17:13,500,321,179,64.2,35.8
2025-07-01 06:17:13,1000,782,218,78.2,21.8
2025-07-01 06:17:14,3000,2731,269,91.03,8.97
2025-07-01 06:17:15,5000,4716,284,94.32,5.68
2025-07-01 06:17:16,500,317,183,63.4,36.6
2025-07-01 06:17:16,1000,780,220,78.0,22.0
2025-07-01 06:17:17,3000,2737,263,91.23,8.77
2025-07-01 06:17:17,5000,4717,283,94.34,5.66
2025-07-01 07:07:03,500,495,5,99.0,1.0
2025-07-01 07:07:03,1000,993,7,99.3,0.7
2025-07-01 07:07:03,3000,2992,8,99.73,0.27
2025-07-01 07:07:03,5000,4993,7,99.86,0.14
2025-07-01 07:07:03,500,494,6,98.8,1.2
2025-07-01 07:07:03,1000,994,6,99.4,0.6
2025-07-01 07:07:03,3000,2993,7,99.77,0.23
2025-07-01 07:07:03,5000,4992,8,99.84,0.16
2025-07-01 07:07:03,500,495,5,99.0,1.0
2025-07-01 07:07:03,1000,993,7,99.3,0.7
2025-07-01 07:07:03,3000,2992,8,99.73,0.27
2025-07-01 07:07:04,5000,4992,8,99.84,0.16
2025-07-01 07:07:04,500,494,6,98.8,1.2
2025-07-01 07:07:04,1000,994,6,99.4,0.6
2025-07-01 07:07:04,3000,2993,7,99.77,0.23
